osoba_id,nazwa_firmy,stanowisko,branza
3fc3f806-a0b7-434f-a347-a41f9f12512a,Johnson-Morris,Paediatric nurse,extend
0b035c6b-6bb1-45e5-ade3-7d3e0f914532,Morris Hinton and Baker,Human resources officer,redefine
7895f33b-7899-43cc-a726-da9a386a1869,Jenkins PLC,Restaurant manager,generate
7c341914-47e8-4ab7-bbb0-27c144f0d1df,Smith-Woods,Management consultant,disintermediate
96efa299-3257-4839-9b3c-bd97a8079b52,Porter-Wilcox,Water engineer,re-intermediate
f9ee0af5-db18-43e8-a25f-f3cc344fd173,Christian Walter and Hopkins,Armed forces logistics/support/administrative officer,synergize
b1093b24-10fa-43af-aa08-b4ff4db75277,Obrien Group,Lecturer further education,re-contextualize
43c7fac9-fbc8-4b2f-ad31-628edbf678f6,Ross Rivera and Atkins,Newspaper journalist,scale
0e7fd522-940a-447d-8596-640448d0a8da,Chavez LLC,Field trials officer,brand
f8d61695-4528-45e5-9170-45eff105ead6,Cardenas PLC,Doctor hospital,leverage
a73a9b5e-0c6b-4f1d-a93a-707aaa576c72,Soto Riley and Tucker,Health service manager,aggregate
0f58f74a-a744-4a0f-93ad-020a707f13d9,Hanson Reynolds and Ramos,Media buyer,expedite
fcdd4f60-2ec8-4e47-9e25-67b9cb82047f,Schmidt Group,Medical laboratory scientific officer,visualize
cad4bbc3-960d-4e40-87dc-e6b155a5bc4d,Larson Combs and Cruz,Technical author,drive
5d60d836-a308-4197-9604-4d6c2435d949,Weaver Kim and Leonard,Sports coach,brand
c0a414b3-f7c2-46df-9332-1f9963174a24,Barber Clark and Cox,Insurance risk surveyor,visualize
6c091724-b18d-41e7-a855-13b90376e685,Malone Mcguire and Miller,Lecturer further education,disintermediate
a6339974-7b2f-4de6-8e91-51f047f2aee0,Austin-Baldwin,Hydrographic surveyor,exploit
615e92e4-ac35-453d-bdec-d7278735cf6c,Shannon Washington and Garcia,Magazine features editor,seize
51e6e389-ce84-434b-83b1-a1bf65c8e2c9,Carter-Stevens,Engineer agricultural,e-enable
232c9be3-2220-47fc-b08e-6c73f17dfbd4,Santos Morris and Jones,English as a foreign language teacher,evolve
0613c926-c353-417c-8aba-d0a86ad19962,Harvey Inc,Herbalist,syndicate
274b4021-51a8-46d1-9ad1-a81da21466ad,Price-Simon,Health service manager,drive
60f03f2f-e733-417a-8773-decf32c955b9,Pena Hunt and Smith,Management consultant,synergize
83b7ff7c-9070-4c3f-be2c-eb32611ca770,Newman-Mullen,Technical author,target
abc12bca-15ad-4633-8475-f992fb277e71,Brown Bowman and Harper,Education administrator,revolutionize
a06e9fb2-07bc-474b-b39d-5e968f5ea5c3,Parks-Gonzalez,Rural practice surveyor,evolve
f4d9123d-4a5a-4bd8-b69c-3abdda794d16,Bowen and Sons,Fast food restaurant manager,cultivate
c08347d1-23b1-4135-9462-d556ff71d1fb,Green and Sons,Surveyor minerals,matrix
86c3d096-980d-4107-b621-f4d30ab2dbf5,Brown LLC,Ambulance person,streamline
e5b6bb3f-b739-4cdb-aad3-8de40a8905a2,Stanley Griffin and Washington,Exercise physiologist,e-enable
4af28898-68ac-4d30-a64d-b6cc2fc6cc29,Hughes Group,Engineer maintenance (IT),maximize
eec01f7d-6b19-486e-95b6-cc94e79f5ca0,Guerra Flores and Ramirez,Surveyor building,orchestrate
6aa29ee6-7b83-4ea8-af27-c240e871d9ba,Wilson Clark and Day,Sports therapist,reinvent
7135ff26-7c0a-40ef-97e4-bf60e47c5364,Olson Walker and Cantrell,Herpetologist,cultivate
29b791cf-140e-447a-b4ee-0a22526fa15a,Lester LLC,Homeopath,streamline
5d098958-ac3d-45e9-b5bc-3ba76f459a1a,Aguilar-White,Theatre stage manager,harness
e0ec5207-feef-443c-a52c-63981dd87794,Daniel Inc,Ambulance person,exploit
b3ba871c-3dd1-4bc1-9b98-b5cde179d00a,Good Group,Designer blown glass/stained glass,target
8559b197-3e81-408d-a478-985a19a8319b,Miller Inc,Dietitian,target
63831c6c-d8fb-41f0-897a-a0e632cf6094,Richardson Ltd,Network engineer,transform
5a1a3c46-6043-4ccb-95b3-2736c5965550,White-West,Sports development officer,engineer
622d7a6b-3654-4ffd-b20d-9fd61a59bc6e,Rodriguez Harris and Wolf,Interior and spatial designer,enable
9852ffbb-923e-4c96-afc6-c52ccebb76a5,Mccarthy-Jones,Associate Professor,deliver
595093f4-7e33-47cb-a4d6-ce6a0571572a,Fernandez LLC,Administrator,transition
a54f6463-76ac-47af-abbd-4b18e2f601bd,Walker-Hill,Sport and exercise psychologist,harness
b21f0405-6a48-4a93-9e40-b4cc7b89f9b9,Collins PLC,Operational investment banker,generate
97bfca37-4aed-4c7f-91a4-ff57c02f8768,Fitzpatrick and Sons,International aid/development worker,mesh
504543cc-9c37-4c87-ac3a-3a4bbc240552,Jones Evans and Brown,Recruitment consultant,brand
55f8eea3-3eab-4d52-8f1a-bce6dec43919,Garcia Hardin and Baker,Bonds trader,enable
6eafddfd-f3f6-4cbe-a4ac-2b330d2aceca,Smith Munoz and Orr,Sports administrator,implement
cd91f4a7-7a8f-4c2e-81a5-177b93c18be0,Mathews-Powers,Secretary/administrator,grow
e5ce49b4-bd1e-4528-b46f-11ca27e40bf1,Mitchell LLC,Forensic scientist,envisioneer
4bdc2e5b-8870-4257-997b-57c984c15058,Andrews PLC,Surveyor mining,envisioneer
43028178-23e4-44c4-981d-6b5c4829cbbc,Banks Martinez and Hall,Site engineer,re-contextualize
2d51bb4c-b3cd-4062-8dac-4e0c07746e71,Bennett and Sons,Meteorologist,incentivize
6b675437-11ec-4d37-bff1-be2682492369,Lewis King and Smith,Building surveyor,deliver
e20ae812-10b6-4ba5-a38f-d1b55e60ec04,Weaver Herrera and Williams,Scientist biomedical,brand
fd8c4b0c-9ed1-4087-8ec0-fc9812e4d91f,Russell-Bell,Higher education careers adviser,empower
10e94c4c-b6f2-4b50-a37d-4f30e65b5a2b,Crawford-Arnold,Haematologist,leverage
47c6bdaa-3e33-4e26-b353-9d1315f7640f,Guzman Group,Therapist horticultural,utilize
cde8fe58-1b01-470c-961b-9a60d0790c3c,Henry Inc,Higher education lecturer,generate
aa351179-20a9-4c8f-a873-532ecdd0ca77,Odonnell PLC,Set designer,syndicate
4220dde3-3ed9-4524-ac59-11148869a7db,Carney-Clark,Dramatherapist,grow
16181269-faa5-49df-a3a7-c16817a70ddf,Mcclure Lynch and Carr,Clinical psychologist,expedite
fb787944-a345-4af7-a707-86f150527bf8,Spencer Inc,Research officer government,iterate
fa3b5905-1457-4b65-93f5-180aa31f64a2,Dalton and Sons,Lecturer further education,embrace
5c0f6fcd-6a49-4a11-8496-f483476ad7b2,Burke Ltd,Presenter broadcasting,transition
27e81a0f-423d-4d74-ba73-9cfb5646a236,Smith-Frost,Therapist sports,generate
b4212693-8dba-4130-941b-e51de30ffb24,Andrews-Suarez,Trade union research officer,streamline
8d62159d-f788-4242-87eb-699e4696401c,Rosales Wright and Salinas,Telecommunications researcher,scale
10f57625-d287-454b-b2f7-c8c233b993ca,Mcgrath Baker and Grimes,Social research officer government,embrace
c3111ec6-c176-468b-834c-7bc3bb0e5be6,Sampson LLC,Administrator Civil Service,envisioneer
e8a21a83-2cca-4858-a93c-569513689584,Andersen PLC,Accounting technician,brand
355befd3-75ad-4bef-892e-c7e897c2a55e,Ferguson Mcpherson and Castro,Lexicographer,deploy
e292bef0-2a92-4f5f-a87c-17e11667e0b3,Steele Moran and Austin,Scientist product/process development,leverage
eb606246-810e-4e1e-af51-73b9040502ec,White-House,Insurance account manager,syndicate
3066e509-b33a-4b69-b9aa-749b81872542,Walters Caldwell and Smith,Doctor hospital,engage
81cd7a7c-5398-4274-8452-786b7ec75a36,Vazquez Group,Diagnostic radiographer,whiteboard
55393bb4-bd42-4b8d-b0c5-45419570823e,Campbell Davis and Stokes,Insurance risk surveyor,morph
882f7a50-279d-4dc4-a266-ec631e76e54c,Leonard LLC,Field trials officer,syndicate
3004372e-07bc-4918-be83-ebe56eb3d371,Smith and Sons,Health service manager,aggregate
2e7b93a2-1800-4694-83c4-940807dabfe1,Peterson-Estrada,Associate Professor,leverage
9b39322c-2166-4e1b-9037-7c4094f432fe,Gregory Inc,Buyer retail,maximize
6cbd7390-7e26-4428-b5e2-a83bf10c292f,Sanders and Sons,Biomedical scientist,incubate
0553629d-3e99-4ca9-bf77-369f5f0e17d6,Mcgee and Sons,Teacher secondary school,orchestrate
cc92bda9-3c07-454d-8b82-f7b9674651dd,Vazquez Pearson and Sherman,Psychotherapist,deliver
472b7e91-2444-4017-87ac-49e16b554582,Peters Group,Geneticist molecular,streamline
fbcac44f-40f9-4380-bcb4-c161e853965f,Garcia Lee and Neal,Education administrator,synergize
c4eb5fd0-ecc8-451e-bcb4-60777dde8e03,Pugh-Mitchell,Nutritional therapist,orchestrate
e52744cf-b29d-478c-8fa9-ac1a7357617f,Nelson LLC,Fast food restaurant manager,cultivate
f9638392-a1b2-41f7-9060-90c10e8034ac,Diaz LLC,Quality manager,engage
ccfa21c7-b52e-473d-831a-06b6e40a4223,Garrett Moran and Avila,Health physicist,evolve
7f7bd36a-d32c-4338-975b-edf1e22e10ef,Higgins-Walters,Forensic psychologist,exploit
0c0e1671-5b43-47cc-aafe-3541da37456f,Duarte Ltd,Horticultural consultant,innovate
02bcde28-6ebc-4271-9f4c-178a6e7176f7,Edwards Gilbert and Gonzales,Electrical engineer,evolve
7b61d933-38c5-4ad1-b479-1ed45797fde1,Delacruz LLC,Trade mark attorney,aggregate
33305e2f-8505-405a-b309-9390b9094ac1,Frye-Mccormick,Economist,implement
0104019c-c5d3-44c3-8fb3-237d5fa90639,Taylor-Russo,Investment analyst,embrace
af8b282a-0eee-491d-b198-53e31624a2eb,Campos Harrington and Walker,Programmer systems,scale
4236f7b8-9b1d-4c43-87c5-586f41328c41,Moyer-Hammond,Seismic interpreter,orchestrate
aaf41f3c-b7d1-49e7-866a-dfbb5b56c9c8,Bridges PLC,Doctor general practice,transition
4282c35c-4cfb-4296-982e-689cf6849123,Green Davis and Downs,Purchasing manager,enable
3677eb19-e3a8-4cd1-b899-3a40c56ff192,Brown-Lee,Engineer materials,cultivate
2400da21-a2a0-478a-a948-ac0d9ed75be6,Thomas-Phelps,Electrical engineer,revolutionize
e3216e11-fae4-4208-9783-85ffec9cdcd2,Moore-Shelton,Engineer manufacturing systems,harness
35ed6217-87d3-4ea8-8d97-004d89a21aa1,Miller-Edwards,Actor,mesh
20cf16a5-4ab9-485a-b6bb-71ea78365fd3,Washington Smith and Parker,Research scientist (physical sciences),drive
c91c15fb-c82a-43e4-9aae-660e07bc01a8,Simmons Neal and Reed,Recruitment consultant,redefine
9ba99e22-5956-48d1-a3ff-74aecf70dfd2,Coleman-Shaw,Administrator charities/voluntary organisations,strategize
b9ad13af-764c-47f9-acd5-77e64178b5cb,Washington and Sons,Civil engineer contracting,re-intermediate
a351a2ec-deed-4b98-8c5c-b7846e54d9f2,Perkins LLC,Energy manager,morph
6377667c-05e8-499c-ab91-1d83e3addf74,Walsh-Kramer,Producer radio,e-enable
02d48a12-c08d-423d-a47a-fea854a99738,Thornton Jacobs and Reed,Adult guidance worker,productize
464e8025-dc49-46f1-a1c0-705f7e478e4c,Fields-Harrell,Regulatory affairs officer,grow
5d286288-ca6c-4f67-b3a5-3b55fc7ad208,Sims LLC,Information systems manager,facilitate
eb10b00b-014d-49b9-86a1-7b40538d9608,Phillips Ltd,Midwife,reinvent
a593e495-828c-4b9d-a77d-2c5d48d00247,Michael Anderson and Garza,Engineer structural,enhance
5289f5c4-af76-47a7-adea-6a84f41e43fb,Johnson-Schneider,Therapist music,syndicate
ef761c1b-6ebd-47c2-adec-ff4276ed18bf,Harris LLC,Community pharmacist,benchmark
42ca81e4-32bc-4869-92c0-2f2ed63524a0,Buchanan-Drake,Scientist research (maths),monetize
44e1ba5c-e990-4d08-965a-65a9bac062cc,Green-Davis,Engineer building services,monetize
8e7045db-6407-4dd4-95d9-1b7ddb33d374,Richardson Foster and Cox,Armed forces operational officer,revolutionize
bf80b6dc-58eb-4200-8650-9f0fc6418c7c,Phillips-Baker,Animal technologist,innovate
4b5fa3ff-e3bd-4754-afa3-ce22e4a5d22a,Morris Ltd,Research officer government,utilize
bbe8fd35-d819-463e-a318-a8103fad3964,Rice-Willis,Advertising account executive,disintermediate
bccb8b0b-9bae-4b0b-b6f5-11fae263feb3,Mcbride and Sons,Horticulturist amenity,mesh
326cee03-d59a-4c02-8679-352270f76a73,Pugh-Sullivan,Designer fashion/clothing,aggregate
ee56efc6-16c8-46e6-ba16-a0b6d27e4769,Duarte-Weaver,Nutritional therapist,productize
3528494f-c98c-429e-9fd6-f5350f056512,Holmes and Sons,Radio broadcast assistant,mesh
ea4f4891-b7a2-4496-8cc0-fb6f23f396d7,Rivas Dennis and Lynch,Science writer,morph
bd380e71-620e-4ce5-83d3-7b0c148b97fd,Martinez Ltd,English as a second language teacher,benchmark
beb9dd64-3e10-48b5-9653-2f55590b540e,Hubbard Group,Electrical engineer,drive
829507c8-0de3-4c44-8072-a1eb2c94965e,Carlson-Brown,Pharmacist hospital,synergize
751b409d-7eef-4d68-9a67-05ab57379656,Hodges Henderson and Carroll,Radiographer therapeutic,orchestrate
16bc7508-bca1-4ac3-b904-cee3ecb7fdc1,Mcconnell-Freeman,Biomedical engineer,generate
96c60e09-0548-4f23-995f-fb12bb3752c8,Taylor Gaines and Kelly,Barista,re-intermediate
c33b1d5b-53be-434a-979c-69e6b5eeacbc,Stevens LLC,Operational investment banker,streamline
3c83c47d-e81f-4ced-8564-02d76161d1e4,Hobbs Johnson and Parker,Research scientist (medical),repurpose
07a043ed-a362-44e9-b122-a5f60bf1be60,Evans Gutierrez and Smith,Investment banker corporate,matrix
dd24ac40-8635-4ba9-9f96-db3fdc9aa5cc,Hernandez Neal and Rogers,English as a foreign language teacher,exploit
cc412a76-5aaa-42b9-a2d6-aade3e258f8c,Schmidt PLC,Forensic psychologist,streamline
e6b5508d-689e-44e8-a243-9dbf9aa32701,Davis LLC,Fine artist,morph
3808fb78-32e4-44cc-96c2-341d6fbbbb55,King-Holmes,Product manager,optimize
dd4ab033-614a-4f1c-9f59-3f87cceedea3,Miles-Smith,Podiatrist,incubate
dfa7b768-9e3c-41b2-943d-1fe071b9dd14,Bennett Ramirez and Mcknight,Psychotherapist,expedite
41ec23d4-a7c7-4abd-ad91-812d92dd3fcf,Jones-Harper,Therapist art,re-intermediate
0e33ca2c-0c11-4550-b129-e080e5a45c54,Gardner LLC,Environmental consultant,enhance
7466cef2-4d60-4148-af85-6674a6b4274b,Potter-Richards,Operational investment banker,matrix
7a716926-1e48-430e-beb1-cd2595607ddf,Fisher-Fry,Commercial/residential surveyor,re-intermediate
41d139db-9f2e-4293-9834-c8a85c1fbf4b,Leon PLC,Financial controller,whiteboard
f323b2b4-4543-4a52-8a97-8e682a63092c,Washington Ltd,Office manager,empower
24cf0f6b-7fce-46b1-bdce-f52745329636,Davis Williams and Mcneil,Homeopath,visualize
c05b09f4-0896-4216-a2e2-8d31de1f8fe1,Figueroa Coleman and Parsons,Rural practice surveyor,transition
46c9ec2f-8250-428b-9900-41e8194669ba,Williams Ltd,Health promotion specialist,engage
73f3b3c7-8c9b-4477-b05a-37fd2b9a33a3,Wallace-Kelley,Higher education careers adviser,orchestrate
5c725689-a213-47e5-9c8f-dbdafcedffa7,Hudson Murphy and Ayala,Physiotherapist,matrix
13e81093-f216-42cb-9507-487c50b354f7,Bryant Anderson and Hamilton,Associate Professor,seize
6edf8188-bbdb-4f12-af54-18fce6422967,Nelson-Rivas,Nurse mental health,target
df845ccf-f197-4b14-8a1e-a88b53b1958d,Bartlett Melendez and Owen,Retail buyer,grow
ebe3a4a6-fa87-4920-8f94-334b04e67a22,Rose King and Porter,Lexicographer,disintermediate
c199845b-cf0e-43a4-a907-39838ea51c3a,Wilson Francis and Bryan,Exercise physiologist,repurpose
cc0836b4-22c0-477a-8824-0ef9576d8bac,Sanchez and Sons,Corporate investment banker,aggregate
07e12375-ac55-4fbb-bd55-58bf8461fcfa,Cochran Morrison and Hawkins,Insurance account manager,innovate
6745bdad-6c06-499c-ab04-f9068da5f139,Gregory Ltd,Newspaper journalist,morph
36132bb3-4d79-4856-844e-9e651423cee8,Jones-Santana,Radio producer,drive
397b89d7-aa49-4ef6-99bb-dae781d15704,Mcbride Martin and Cantu,Presenter broadcasting,deploy
16e99c63-eaca-457d-b3ac-1719689ef3c9,Mcclure LLC,Corporate treasurer,streamline
81e6b423-e032-4b88-8471-5651722dc5eb,Wolf-Williams,Therapist occupational,implement
ced3d8df-f7aa-4b22-9481-efbe1f692791,Castillo-James,Telecommunications researcher,extend
6fbe488d-6359-460e-a52b-80288380b661,Jackson Group,Seismic interpreter,deliver
9641f929-8899-4441-a8c4-5698c87e85d8,Fletcher-English,Health physicist,whiteboard
924827a5-4e11-44b5-a4a3-3fc8bc7e374a,Greer Whitehead and Juarez,Jewellery designer,grow
e3b13a14-e17a-4788-802d-f40cbd382663,Day Mitchell and Petersen,Scientist research (life sciences),disintermediate
f6799ab1-e4a6-4055-9062-2885e0cef8aa,Brown Austin and Harper,Engineer building services,extend
a66bc07e-2b41-4160-a800-2ffd30a6dd60,Tapia Roberts and Nunez,Chief Technology Officer,target
cc40caea-19ee-4521-86ac-b20124533d4d,Smith LLC,Veterinary surgeon,incentivize
24c7d5da-3957-46d1-865f-32ed65097f83,Martin PLC,Consulting civil engineer,iterate
24669c5c-bf12-49b9-9850-87f8ef45a274,Goodwin Group,Museum/gallery exhibitions officer,iterate
7c7d2eb1-1d53-435c-990a-eb50c5cd75dd,Williams-Martin,Corporate investment banker,maximize
a19a59d2-ec54-4b02-9d4a-2b4fd332f48b,Stein-Blevins,Merchandiser retail,leverage
4e543e9c-b9bc-426e-ab5b-575160e5fca9,Fox-Barker,Sports administrator,engage
ae829a47-1f13-4974-834b-4801dfb2f909,Bird-Webb,Politicians assistant,syndicate
20f31a11-752e-478c-a7b0-ea2b27af26db,Austin Gibson and Henderson,Engineer petroleum,enable
21165f17-9aa6-42b6-9a78-681c85756f77,Koch Evans and Irwin,Chief Technology Officer,re-intermediate
4dcbbfe5-6dc8-4d65-ba0f-50c9b4dea4f2,Zamora-Shelton,Make,cultivate
e6d470fb-6949-4c66-8550-c3d2b8063fe8,Duarte Cherry and Bowman,Theatre manager,deploy
8a5adf15-7a7f-40be-965e-f1cf9daf93f0,Nguyen-Rhodes,Careers information officer,orchestrate
04872012-41f6-43da-9994-45285086dd2c,Kaiser Dawson and Walton,Communications engineer,engineer
695aac72-c2b2-4ead-abd3-cdc3ee0cd145,Johnson Elliott and Garcia,Runner broadcasting/film/video,strategize
ff0d0d2f-cd42-474e-80f7-e2b2e9c62bde,Brown-Spencer,Mudlogger,deliver
ecca49e8-dd35-4fab-abfd-323b78201d7c,Jacobs Inc,Engineer automotive,enhance
c343d235-3243-41c3-be89-5bebfb665a34,Doyle Lawson and Scott,Arts administrator,monetize
79c9d41d-2094-4f1a-aec7-f8e162372d52,Carter-Reyes,Psychotherapist child,incentivize
a57af5b1-5ee6-44c2-aad2-88c8b55f82ca,Hayes Group,Forensic psychologist,generate
008d3d43-92be-4431-b989-3d4190b3b37e,Rojas Jones and Schmitt,Risk analyst,reinvent
7720d97e-e572-4899-b559-eeae556e9e5b,Griffin-Johnson,Arboriculturist,exploit
23b2536a-74eb-4129-8813-681f42d107e9,Peters and Sons,Designer television/film set,iterate
e8ab9a5d-51ba-4516-b079-1315954e4bcd,Smith Group,Primary school teacher,exploit
e1c3ad1c-0d40-46f1-8d94-0700e93f1f43,Powell-Sullivan,Podiatrist,leverage
e91be328-4758-401c-9df1-8e01be661bd4,Walker Bryan and Hinton,Social worker,evolve
bb15bfe6-f556-47a4-803e-1478662ca3e3,Alexander-Williams,Operations geologist,embrace
c3adaa2a-ef56-4644-985e-0843991a8ab6,Avila Webb and Gonzales,Manufacturing systems engineer,mesh
2faa9b8d-6b05-41ca-9a20-75a4e78a4db1,Hunt-Williams,Horticultural consultant,unleash
e8884657-c952-48c7-8a76-4d60d92657cf,Perez-Johnson,Cartographer,evolve
cd19baa1-b5e4-4809-a1cc-d111405169b9,Douglas Gibson and Bradley,Social research officer government,architect
db206fa9-485a-40d6-a58e-976adffa610c,Munoz Moody and Kramer,Insurance claims handler,cultivate
e40eb85f-d44e-4597-a0eb-2ebbce912375,Cox Martinez and Watkins,Furniture conservator/restorer,grow
26cea105-2148-4b83-8a56-2f4424ad4165,West Williams and Adams,Building services engineer,envisioneer
b0d71d78-1e15-43c0-a9a7-96b72b50d22a,Elliott-Foster,Civil Service administrator,benchmark
7d7923a6-c88c-4464-a547-64f27b0f161b,Clark and Sons,Psychologist occupational,brand
50ee5d4f-0791-4fb5-b651-6546fdf840b7,Zamora-Mcgee,Barristers clerk,embrace
9f46494d-bbfb-4100-9989-6479211f3b65,Cooper Group,Industrial buyer,re-contextualize
c8e991a1-d637-46eb-8c3c-e1a4f59d2e7b,Miller Gonzales and Roberts,Exhibition designer,redefine
93c14727-5aac-494f-b6d9-8347c4021c22,Moore Mcfarland and Wood,Teaching laboratory technician,innovate
e1b5aebd-58f7-4883-918e-2f1f974ef184,Patton Davis and Perez,Archaeologist,embrace
a70a8b62-1164-47aa-8a89-fbd055bda041,Lynch Inc,Accommodation manager,productize
62765b00-f78c-40e5-8fbe-661008c43fa6,Sims PLC,Risk manager,integrate
ebd03e87-0d95-4851-a9ef-f960461ebd43,Jones PLC,Animal nutritionist,generate
de35e0cd-2e35-429e-893e-1a8334f8a70d,Evans Brock and Turner,Occupational psychologist,engineer
5ca01cd7-9b84-4fb7-9997-1c495ed6158e,Henry Hall and Fisher,Metallurgist,grow
95590e04-d8ee-440b-8e9b-b98e8fc6370f,Peterson-Moore,Chemist analytical,empower
5b14256e-63e5-452b-b466-515442647cd2,Wagner Rivera and Ferguson,Gaffer,productize
dfe3c2ea-17d1-4fa2-b8be-7324b640dfbc,Miles Bruce and Osborne,Administrator education,synergize
